SMILES,core,fragments,qsar,qed,sa,score,cafe_enrichment,cafe_boost,rank
O=C(Nc1ccc2[nH]nc(N3CCCS3(=O)=O)c2c1)c1ccc(N2CCCC2)cc1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]N[*]; [*]C([*])=O; [*]c1ccc([*])cc1; [*]N1CCCC1 (AC),0.8225725961760808,0.6696939201541995,0.8273057146058659,0.7938901083436187,8.022975,0.0013505977177984407,48
O=S1(=O)CCCN1c1ccc(NNc2ccc(Br)cc2)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]N[*]; [*]N[*]; [*]c1ccc(Br)cc1 (AC),0.7323738939901269,0.7959112870974412,0.8522246330842553,0.7930216682492411,14.062329,0.009515601280484343,49
O=S1(=O)CCCN1c1ccc(Oc2ccc(O)cc2)c(F)c1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])c(F)c1 (AC); [*]O[*]; [*]c1ccc(O)cc1 (AC),0.6510430929599926,0.9429989829477807,0.8594954472163597,0.7928152126600971,13.405242999999999,0.01545270084179362,50
O=S1(=O)CCCN1Oc1ccc(-c2n[nH]c3ccc(N4CCOCC4)cc23)c(F)c1,[*]N1CCCS1(=O)=O,[*]O[*]; [*]c1ccc([*])c(F)c1 (AC); [*]c1n[nH]c2ccc([*])cc12; [*]N1CCOCC1,0.8671114046732652,0.6818240133652688,0.7720752990444156,0.7920394841601262,5.065782,0.0,51
O=S1(=O)CCCN1Cc1ccc(-c2ccc(O)cc2)c(F)c1,[*]N1CCCS1(=O)=O,[*]C[*]; [*]c1ccc([*])c(F)c1 (AC); [*]c1ccc(O)cc1 (AC),0.655845355837616,0.9454989758835938,0.850516539027774,0.7916445531228749,13.405242999999999,0.015079715893869028,52
O=C(Nc1ccc(Br)cc1)c1ccc(N2CCCS2(=O)=O)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]C([*])=O; [*]N[*]; [*]c1ccc(Br)cc1 (AC),0.6599550072867145,0.8679602362309126,0.8851556202284168,0.791636298252235,14.062329,0.01537407330189422,53
COc1cc(-c2n[nH]c3ccc(N4CCCC4)cc23)c(N2CCCS2(=O)=O)cc1OC,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [*]OC; [*]OC; [*]c1n[nH]c2ccc([*])cc12; [*]N1CCCC1 (AC),0.8437758951130794,0.6517695780912809,0.8065796806810742,0.7904961459359177,14.462689000000001,0.0005155984800557789,54
O=S1(=O)CCCN1CCNc1n[nH]c2ccc(-c3ccc(O)cc3)cc12,[*]N1CCCS1(=O)=O,[*]CC[*] (AC); [*]N[*]; [*]c1n[nH]c2ccc([*])cc12; [*]c1ccc(O)cc1 (AC),0.8432336371406213,0.6387087490859551,0.8134357661279693,0.7904095111246273,52.995629,0.0013449796358986355,55
COc1ccc2[nH]c(-c3ccc(N4CCCS4(=O)=O)cc3)nc2c1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]c1nc2cc([*])ccc2[nH]1; [*]OC,0.7273837264925689,0.7933430327917538,0.850064210927902,0.7896477815265391,0.0,0.0,56
[H]c1ccc2[nH]nc(Oc3cc(OC)c(N4CCN(C)CC4)cc3N3CCCS3(=O)=O)c2c1,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [*]N1CCN(C)CC1 (AC); [*]OC; [*]O[*]; [*]c1n[nH]c2ccc([*])cc12; [H][*],0.8664908108612256,0.6298408939269878,0.7926871939887086,0.7896393807253713,21.278655999999998,0.0,57
CONC(=O)NN1C(=O)CSC1n1c(N2CCOCC2)nc2ccccc21,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]n1c([*])nc2ccccc21; [*]OC; [*]N1CCOCC1,0.8867458685903317,0.7381332679605442,0.7135513435003307,0.7877455384283738,0.0,0.0,58
O=S1(=O)CCCN1Nc1ccc(-c2ccccc2F)cc1,[*]N1CCCS1(=O)=O,[*]N[*]; [*]c1ccc([*])cc1; [*]c1ccccc1F (AC),0.6655522402717653,0.9483835405472495,0.8292724182425795,0.7876065715151879,5.385627,0.006268047201685056,59
CONC(=O)NN1C(=O)CSC1Oc1ccc(N2CCOCC2)c(F)c1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]O[*]; [*]OC; [*]c1ccc([*])c(F)c1 (AC); [*]N1CCOCC1,0.8951172697812427,0.7190549158299427,0.7136664445497269,0.7873244688983765,5.065782,0.0,60
CN1CCN(Nc2ccc3[nH]c(OCC(=O)N4CCCS4(=O)=O)nc3c2)CC1,[*]N1CCCS1(=O)=O,[*]C(=O)C[*]; [*]O[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]N[*]; [*]N1CCN(C)CC1 (AC),0.865753983671654,0.7155947196125767,0.7446146104220972,0.7872663815600158,14.838942,0.0,61
O=S1(=O)CCCN1c1ccc(-c2ccc(CN3CCOCC3)cc2)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]c1ccc([*])cc1; [*]C[*]; [*]N1CCOCC1,0.6789529726001834,0.8280747352899009,0.8693688106623824,0.7849436603630066,0.0,0.0,62
O=C(COc1ccc(N2CCOCC2)cc1)Nc1ccc(N2CCCS2(=O)=O)cc1F,[*]N1CCCS1(=O)=O,[*]c1ccc([*])c(F)c1 (AC); [*]N[*]; [*]C(=O)C[*]; [*]O[*]; [*]c1ccc([*])cc1; [*]N1CCOCC1,0.7508611334424244,0.7277512336290737,0.8468735441210052,0.7846441177511867,5.065782,0.00317948866628881,63
COc1ccc(-c2ccc(N3CCCS3(=O)=O)cc2)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]c1ccc([*])cc1; [*]OC,0.6263093681596902,0.8756431503588067,0.8919070336271948,0.7824151907865154,0.0,0.0,64
CONC(=O)NN1C(=O)CSC1c1cc2nccc(OC)c2cc1N1CCN(C)CC1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]c1cc2nccc([*])c2cc1[*]; [*]OC; [*]OC; [*]N1CCN(C)CC1 (AC),0.8837874980428334,0.664345425441331,0.7197936917198049,0.7743015609933216,14.838942,0.0,65
[H]c1ccc(-c2ccc(N3CCCS3(=O)=O)cc2)cc1,[*]N1CCCS1(=O)=O,[*]c1ccc([*])cc1; [*]c1ccc([*])cc1; [H][*],0.5945700868090475,0.8434072474169858,0.8974488897249372,0.765489040096991,0.0,0.0,66
CN1CCN(c2ccc(CC(=O)NOc3nc4ccccc4n3N3CCCS3(=O)=O)cc2)CC1,[*]N1CCCS1(=O)=O,[*]n1c([*])nc2ccccc21; [*]O[*]; [*]N[*]; [*]C(=O)C[*]; [*]c1ccc([*])cc1; [*]N1CCN(C)CC1 (AC),0.8736476784153198,0.5234554402774773,0.7621753085865233,0.7590202828562327,14.838942,0.0,67
COc1cc(N2CCCS2(=O)=O)c(NC(=O)NN2C(=O)CSC2c2ccccc2F)cc1CN1CCOCC1,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [*]OC; [*]C[*]; [*]N[*]; [*]N1CCOCC1; [*]C(=O)NN1C(=O)CSC1[*]; [*]c1ccccc1F (AC),0.8968468234924692,0.5137045908253859,0.7149303896117369,0.7474518034067597,11.825341000000002,0.0,68
COCC(=O)C1SCC(=O)N1NC(=O)Nc1cc2nccc(N3CCCS3(=O)=O)c2cc1N1CCOCC1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]C(=O)C[*]; [*]c1cc2nccc([*])c2cc1[*]; [*]OC; [*]N1CCCS1(=O)=O; [*]N1CCOCC1,0.933109403089382,0.49345275860805476,0.6768983690186862,0.7426936605648382,0.0,0.0,69
COc1ccc2[nH]nc(-c3cc(N4CCOCC4)c(N4CCCS4(=O)=O)cc3-c3ccc(Br)cc3)c2c1,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [*]c1ccc(Br)cc1 (AC); [*]c1n[nH]c2ccc([*])cc12; [*]N1CCOCC1; [*]OC,0.8744869405826182,0.35430076047737846,0.7859333533056956,0.7350282696508013,20.502043,0.0,70
CN1CCN(C(=O)NCNOc2ccc3[nH]nc(N4CCCS4(=O)=O)c3c2)CC1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]O[*]; [*]N[*]; [*]C[*]; [*]N[*]; [*]C([*])=O; [*]N1CCN(C)CC1 (AC),0.9126787029194962,0.3486430778255326,0.7500208989474408,0.7348084563118814,14.838942,0.0,71
COCC(=O)c1ccnc2cc(NCNN3CCCS3(=O)=O)c(-c3ccc(Br)cc3)cc12,[*]N1CCCS1(=O)=O,[*]N[*]; [*]C[*]; [*]N[*]; [*]c1cc2nccc([*])c2cc1[*]; [*]C(=O)C[*]; [*]c1ccc(Br)cc1 (AC); [*]OC,0.902792855969468,0.3476859437931268,0.751191064031709,0.7311307567590962,14.062329,0.0,72
COc1ccc2[nH]nc(-c3cc(N4CCOCC4)c(N4CCCS4(=O)=O)cc3CCc3c(F)cccc3F)c2c1,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [*]CC[*] (AC); [*]c1n[nH]c2ccc([*])cc12; [*]N1CCOCC1; [*]c1c(F)cccc1F; [*]OC,0.8803749059662102,0.3485633148084969,0.7668298780051226,0.7285945765502325,51.095882,0.0,73
CN1CCN(Oc2nc3ccccc3n2CC(=O)c2ccc3[nH]nc(N4CCCS4(=O)=O)c3c2)CC1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]C(=O)C[*]; [*]n1c([*])nc2ccccc21; [*]O[*]; [*]N1CCN(C)CC1 (AC),0.8754387448444034,0.39181364220973436,0.7495364224199224,0.7283527953476773,14.838942,0.0,74
COc1ccc(C2SCC(=O)N2NC(=O)Nc2cc3c(N4CCN(C)CC4)ccnc3cc2C(=O)N2CCCS2(=O)=O)cc1F,[*]N1CCCS1(=O)=O,[*]C([*])=O; [*]c1cc2nccc([*])c2cc1[*]; [*]N1CCN(C)CC1 (AC); [*]N[*]; [*]C(=O)NN1C(=O)CSC1[*]; [*]c1ccc([*])c(F)c1 (AC); [*]OC,0.9239659359011761,0.4060918671819,0.6801005581929218,0.7228449710740192,19.904723999999998,0.0,75
CN1CCN(c2ccc3[nH]c(Oc4ccc(-c5ccc6[nH]nc(N7CCCS7(=O)=O)c6c5)cc4F)nc3c2)CC1,[*]N1CCCS1(=O)=O,[*]c1n[nH]c2ccc([*])cc12; [*]c1ccc([*])c(F)c1 (AC); [*]O[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]N1CCN(C)CC1 (AC),0.8805877203695887,0.3287220310156157,0.7607892437068869,0.7222951918337135,19.904723999999998,0.0,76
CONC(=O)NN1C(=O)CSC1c1cc2nccc(-c3ccc(N4CCCC4)c(F)c3)c2cc1N1CCCS1(=O)=O,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]c1cc2nccc([*])c2cc1[*]; [*]OC; [*]c1ccc([*])c(F)c1 (AC); [*]N1CCCS1(=O)=O; [*]N1CCCC1 (AC),0.9132069377666722,0.41219959483072566,0.683279293484808,0.7210344114667372,13.088757000000001,0.0,77
O=S1(=O)CCCN1c1cc2nccc(ONc3nc4cc(N5CCOCC5)ccc4[nH]3)c2cc1N1CCCC1,[*]N1CCCS1(=O)=O,[*]c1cc2nccc([*])c2cc1[*]; [*]O[*]; [*]N1CCCC1 (AC); [*]N[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]N1CCOCC1,0.8759184169982019,0.3487722966065013,0.7436497736805635,0.7175817355928065,8.022975,0.0,78
COc1ccc2[nH]nc(-c3ccc4[nH]c(-c5ccnc6cc(N7CCCS7(=O)=O)c(N7CCOCC7)cc56)nc4c3)c2c1,[*]N1CCCS1(=O)=O,[*]c1cc2nccc([*])c2cc1[*]; [*]c1nc2cc([*])ccc2[nH]1; [*]N1CCOCC1; [*]c1n[nH]c2ccc([*])cc12; [*]OC,0.8811546379051153,0.2933629052266082,0.7561208478263364,0.7135827753379025,0.0,0.0,79
CN1CCN(C2SCC(=O)N2NC(=O)NOc2ccc(-c3n[nH]c4ccc(N5CCCS5(=O)=O)cc34)c(F)c2)CC1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]N1CCN(C)CC1 (AC); [*]O[*]; [*]c1ccc([*])c(F)c1 (AC); [*]c1n[nH]c2ccc([*])cc12; [*]N1CCCS1(=O)=O,0.9392382375078728,0.35709774782333314,0.6598871830311592,0.7110697177802795,19.904723999999998,0.0,80
COCC(=O)C1SCC(=O)N1NC(=O)Nc1ccc(-c2n[nH]c3ccc(NN4CCCC4)cc23)c(F)c1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]C(=O)C[*]; [*]c1ccc([*])c(F)c1 (AC); [*]OC; [*]c1n[nH]c2ccc([*])cc12; [*]N[*]; [*]N1CCCC1 (AC),0.9000848274512926,0.35173167323444815,0.6940194144966281,0.7079880314260579,13.088757000000001,0.0,81
COc1ccc2[nH]nc(-c3cc(-c4nc5cc(-c6ccccc6F)ccc5[nH]4)c(N4CCCS4(=O)=O)cc3N3CCN(C)CC3)c2c1,[*]N1CCCS1(=O)=O,[*]c1cc([*])c([*])cc1[*] (AC); [*]N1CCN(C)CC1 (AC); [*]c1n[nH]c2ccc([*])cc12; [*]c1nc2cc([*])ccc2[nH]1; [*]OC; [*]c1ccccc1F (AC),0.8865263534799315,0.2315616010306735,0.7529225281687978,0.7020918728656266,26.664282999999998,0.0,82
[H]C1SC(=O)N(Cc2ccc(-c3ccc(O)cc3)cc2)C1=O,[*]C1SC(=O)N([*])C1=O,[H][*]; [*]C[*]; [*]c1ccc([*])cc1; [*]c1ccc(O)cc1 (AC),0.3889349132143676,0.9448482608030037,0.889453443883605,0.7003249949997898,8.339461,0.03881908770487802,83
[H]C1SCC(=O)N1NC(=O)NCCn1c(-c2cc(C(=O)OC)c(ON3CCCS3(=O)=O)cc2NN2CCOCC2)nc2ccccc21,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [H][*]; [*]CC[*] (AC); [*]n1c([*])nc2ccccc21; [*]c1cc([*])c([*])cc1[*] (AC); [*]C([*])=O; [*]O[*]; [*]N[*]; [*]OC; [*]N1CCCS1(=O)=O; [*]N1CCOCC1,0.9237692354249085,0.26273826425915225,0.6863773899158419,0.6966063029881306,51.095882,0.0,84
COc1ccnc2cc(NNC(=O)NN3C(=O)CSC3c3ccc(CCN4CCCS4(=O)=O)c(F)c3)c(-c3ccc(Br)cc3)cc12,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]c1ccc([*])c(F)c1 (AC); [*]N[*]; [*]CC[*] (AC); [*]c1cc2nccc([*])c2cc1[*]; [*]N1CCCS1(=O)=O; [*]OC; [*]c1ccc(Br)cc1 (AC),0.925940192654996,0.20044298938875676,0.6778723001008845,0.6816135949801035,63.784279,0.0,85
[H]C1SC(=O)N(Cc2ccc(-c3ccccc3F)cc2)C1=O,[*]C1SC(=O)N([*])C1=O,[H][*]; [*]C[*]; [*]c1ccc([*])cc1; [*]c1ccccc1F (AC),0.3742406937123034,0.8674281158418476,0.8925167772169385,0.6801886115400663,5.385627,0.026437095838649505,86
CN1CCN(c2ccc3[nH]nc(CCOOc4ccc(NC(=O)NN5C(=O)CSC5N5CCCS5(=O)=O)cc4F)c3c2)CC1,[*]C(=O)NN1C(=O)CSC1[*],[*]N[*]; [*]N1CCCS1(=O)=O; [*]c1ccc([*])c(F)c1 (AC); [*]O[*]; [*]O[*]; [*]CC[*] (AC); [*]c1n[nH]c2ccc([*])cc12; [*]N1CCN(C)CC1 (AC),0.945945131773812,0.17837729023482946,0.6502983063714065,0.6741728333050534,64.560892,0.0,87
