fragment_smiles,importance,stability,selected_by,is_AC_enriched,was_added_by_cliff_pairs,cliff_pairs_that_added,ac_enrichment,n_cliff_pairs,cliff_pairs_ac_enrichment
[*]c1cc2nccc([*])c2cc1[*],0.162426,1.0,threshold,False,False,,0.0,0,
[*]N1CCCC1,0.016902,1.0,AC_added,True,True,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1|COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCc2sccc2C1,8.022975,1,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCCC1|COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCc2sccc2C1
[*]c1nc2cc([*])ccc2[nH]1,0.075718,1.0,threshold,False,False,,0.0,0,
[*]N1CCOCC1,0.059338,1.0,threshold,True,False,,4.461101,2,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCCCC5)C4=O)ccc3[nH]2)cc1OC|COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC; COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1
[*]n1c([*])nc2ccccc21,0.06651,1.0,threshold,True,False,,19.978003,3,O=C(O)CN1C(=O)/C(=C/c2nc3cc(F)ccc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S; O=C(O)CN1C(=O)/C(=C/c2nc3ccc(Cl)cc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S; O=C(O)CN1C(=O)/C(=C/c2nc3ccc(F)cc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S
[*]c1c(F)cccc1F,0.038244,1.0,threshold,False,False,,0.0,0,
[*]OC,0.274271,1.0,threshold,True,False,,31.184135,9,COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(Cl)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(N(C)C)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccccc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1; COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21
[*]CC[*],0.031739,1.0,AC_added,True,True,COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(F)cc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2)c1,44.656168,4,COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(F)cc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1; COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccccc2)c1
[*]c1n[nH]c2ccc([*])cc12,0.042528,1.0,threshold,False,False,,0.0,0,
[*]O[*],0.145985,1.0,threshold,False,False,,0.0,0,
[*]c1ccc([*])cc1,0.083662,1.0,threshold,True,False,,74.633303,16,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(Cl)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccccc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C; COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Cl)cc3)C1=O)CCC2; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1; COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1; COc1ccc(CCNC(=O)c2cccc(C3SCC(=O)N3c3ccccc3OC)c2)cc1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1; COc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|O=C1N/C(=N\Cc2ccccc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21; Cc1ccc(CC(=O)Nc2n[nH]c3ccc(N4CCCS4(=O)=O)cc23)cc1|O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(Cl)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S
[*]N[*],0.397281,1.0,threshold,False,False,,0.0,0,
[*]C(=O)C[*],0.05664,1.0,threshold,False,False,,0.0,0,
[*]C1SC(=O)N([*])C1=O,0.043411,1.0,threshold,False,False,,0.0,0,
[*]N1CCCS1(=O)=O,0.05706,1.0,threshold,False,False,,0.0,0,
[*]C[*],0.179159,1.0,threshold,False,False,,0.0,0,
[*]c1ccc(Br)cc1,0.025768,1.0,AC_added,True,True,COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2; Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2; Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2|Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1; Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S; O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1; O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S,14.062329,8,COc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2; Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2|Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccccc3)C1=O)CCC2; Cc1cc2c(cc1C)C(Cl)=C(/C=C1\SC(=O)N(CC(=O)c3ccc(Br)cc3)C1=O)CCC2|Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4cc(C)c(C)cc4CCC3)C2=O)cc1; Cc1ccc(C(=O)CN2C(=O)S/C(=C\C3=C(Cl)c4ccccc4CCC3)C2=O)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S; O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Br)cc1|O=C(CN1C(=O)S/C(=C\C2=C(Cl)c3ccccc3CCC2)C1=O)c1ccc(Cl)cc1; O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(Br)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S
[*]c1ccccc1F,0.009129,1.0,AC_added,True,True,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,5.385627,1,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S
[*]N1/C(=N/c2ccc(Cl)c([*])c2)SCC1([*])O,0.045331,1.0,threshold,False,False,,0.0,0,
[*]c1ccc([*])c(F)c1,0.011709,1.0,AC_added,True,True,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,5.065782,1,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1
[*]c1cc([*])c([*])cc1[*],4.6e-05,0.0,AC_added,True,True,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC|COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC,6.439714,1,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC|COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC
[*]c1ccc(C#N)cc1,0.005578,1.0,AC_added,True,True,Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccccc2)SC1=S,27.540893,4,Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccccc2)SC1=S
[*]C1SC(=O)NC1=O,0.056084,1.0,threshold,False,False,,0.0,0,
[*]C(=O)NN1C(=O)CSC1[*],0.109046,1.0,threshold,False,False,,0.0,0,
[*]c1ccc(O)cc1,0.000378,1.0,AC_added,True,True,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1,8.339461,1,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(O)cc2)c1
[*]N1CCN(C)CC1,0.001901,1.0,AC_added,True,True,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1|COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCc2sccc2C1; COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,14.838942,2,COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1|COc1cc2c(Oc3c(F)cc(NC(=O)NN4C(=O)CSC4c4c(F)cccc4F)cc3F)ccnc2cc1OCCCN1CCc2sccc2C1; COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1
[*]C([*])=O,0.045127,1.0,threshold,True,False,,12.673836,1,COC(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)O)c1
[*]C(F)(F)F,0.101161,1.0,threshold,True,False,,18.467488,3,Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(Br)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S
[*]C1SC(=S)N([*])C1=O,0.049777,1.0,threshold,False,False,,0.0,0,
